1;8662754;1
2;8662775;2
3;8662776;2
4;8663750;1
5;8663957;1
6;8664044;1
7;8356689;1
8;8443289;1
9;8450534;1
10;8451284;1
11;8451361;1
12;8451407;1
13;8452772;1
14;8460803;1
15;8663390;1
16;6270108;10
17;6270169;20
18;6270347;50
19;6306155;2
20;6315009;2
21;6319445;2
22;8443888;4
23;6371042;6
24;8253047;1
25;8253048;1
26;8353037;1
27;8359770;25
28;8460842;25
29;8460843;20
30;6100510;100
31;6100550;100
32;6100612;120
33;6100616;50
34;6100620;60
35;6100625;20
36;6100630;40
37;8259726;1
38;8443307;1
39;8450395;2
40;6262464;2
41;6301198;4
42;6303150;8
